
2024/11/16 (19:01:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:04:32) | ===> btop++ v.1.4.0
2024/11/16 (19:04:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:05:40) | ===> btop++ v.1.4.0
2024/11/16 (19:05:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:06:14) | ===> btop++ v.1.4.0
2024/11/16 (19:06:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:06:41) | ===> btop++ v.1.4.0
2024/11/16 (19:06:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:13:51) | ===> btop++ v.1.4.0
2024/11/16 (19:13:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:15:48) | ===> btop++ v.1.4.0
2024/11/16 (19:15:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:15:53) | ===> btop++ v.1.4.0
2024/11/16 (19:15:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:15:55) | ===> btop++ v.1.4.0
2024/11/16 (19:15:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:15:57) | ===> btop++ v.1.4.0
2024/11/16 (19:15:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:15:59) | ===> btop++ v.1.4.0
2024/11/16 (19:15:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:16:11) | ===> btop++ v.1.4.0
2024/11/16 (19:16:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:16:30) | ===> btop++ v.1.4.0
2024/11/16 (19:16:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:16:32) | ===> btop++ v.1.4.0
2024/11/16 (19:16:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (19:16:45) | ===> btop++ v.1.4.0
2024/11/16 (19:16:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/16 (20:47:24) | ===> btop++ v.1.4.0
2024/11/16 (20:47:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/17 (10:06:04) | ===> btop++ v.1.4.0
2024/11/17 (10:06:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/17 (10:44:44) | ===> btop++ v.1.4.0
2024/11/17 (10:44:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/17 (10:44:57) | ===> btop++ v.1.4.0
2024/11/17 (10:44:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/17 (13:51:19) | ===> btop++ v.1.4.0
2024/11/17 (13:51:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
